lsoa11cd,lsoa11nm,lad16nm,measure,value
E01004768,Bolton 001A,Bolton,Households with lone parent not in employment,4
E01004803,Bolton 001B,Bolton,Households with lone parent not in employment,5
E01004804,Bolton 001C,Bolton,Households with lone parent not in employment,2
E01004807,Bolton 001D,Bolton,Households with lone parent not in employment,5
E01004808,Bolton 001E,Bolton,Households with lone parent not in employment,6
E01004788,Bolton 002A,Bolton,Households with lone parent not in employment,3
E01004790,Bolton 002B,Bolton,Households with lone parent not in employment,10
E01004805,Bolton 002C,Bolton,Households with lone parent not in employment,8
E01004806,Bolton 002D,Bolton,Households with lone parent not in employment,4
E01004810,Bolton 002E,Bolton,Households with lone parent not in employment,8
E01004769,Bolton 003A,Bolton,Households with lone parent not in employment,0
E01004770,Bolton 003B,Bolton,Households with lone parent not in employment,2
E01004771,Bolton 003C,Bolton,Households with lone parent not in employment,2
E01004773,Bolton 003D,Bolton,Households with lone parent not in employment,10
E01004809,Bolton 003E,Bolton,Households with lone parent not in employment,17
E01004777,Bolton 004A,Bolton,Households with lone parent not in employment,21
E01004881,Bolton 004B,Bolton,Households with lone parent not in employment,15
E01004888,Bolton 004C,Bolton,Households with lone parent not in employment,12
E01004889,Bolton 004D,Bolton,Households with lone parent not in employment,22
E01004890,Bolton 004E,Bolton,Households with lone parent not in employment,11
E01004766,Bolton 005A,Bolton,Households with lone parent not in employment,18
E01004767,Bolton 005B,Bolton,Households with lone parent not in employment,10
E01004772,Bolton 005C,Bolton,Households with lone parent not in employment,44
E01004774,Bolton 005D,Bolton,Households with lone parent not in employment,29
E01004824,Bolton 005E,Bolton,Households with lone parent not in employment,13
E01004784,Bolton 006A,Bolton,Households with lone parent not in employment,1
E01004785,Bolton 006B,Bolton,Households with lone parent not in employment,12
E01004786,Bolton 006C,Bolton,Households with lone parent not in employment,7
E01004789,Bolton 006D,Bolton,Households with lone parent not in employment,4
E01004791,Bolton 006E,Bolton,Households with lone parent not in employment,2
E01004792,Bolton 006F,Bolton,Households with lone parent not in employment,1
E01004779,Bolton 007A,Bolton,Households with lone parent not in employment,14
E01004781,Bolton 007B,Bolton,Households with lone parent not in employment,18
E01004882,Bolton 007C,Bolton,Households with lone parent not in employment,9
E01004883,Bolton 007D,Bolton,Households with lone parent not in employment,8
E01004884,Bolton 007E,Bolton,Households with lone parent not in employment,1
E01004864,Bolton 008A,Bolton,Households with lone parent not in employment,9
E01004867,Bolton 008B,Bolton,Households with lone parent not in employment,27
E01004921,Bolton 008C,Bolton,Households with lone parent not in employment,17
E01004924,Bolton 008D,Bolton,Households with lone parent not in employment,4
E01004925,Bolton 008E,Bolton,Households with lone parent not in employment,4
E01004778,Bolton 009A,Bolton,Households with lone parent not in employment,1
E01004780,Bolton 009B,Bolton,Households with lone parent not in employment,10
E01004782,Bolton 009C,Bolton,Households with lone parent not in employment,6
E01004783,Bolton 009D,Bolton,Households with lone parent not in employment,4
E01004802,Bolton 010A,Bolton,Households with lone parent not in employment,57
E01004926,Bolton 010B,Bolton,Households with lone parent not in employment,47
E01004927,Bolton 010C,Bolton,Households with lone parent not in employment,63
E01004929,Bolton 010D,Bolton,Households with lone parent not in employment,31
E01004820,Bolton 011A,Bolton,Households with lone parent not in employment,40
E01004825,Bolton 011B,Bolton,Households with lone parent not in employment,30
E01004826,Bolton 011C,Bolton,Households with lone parent not in employment,42
E01004865,Bolton 011D,Bolton,Households with lone parent not in employment,11
E01004866,Bolton 011E,Bolton,Households with lone parent not in employment,43
E01004840,Bolton 012A,Bolton,Households with lone parent not in employment,15
E01004841,Bolton 012B,Bolton,Households with lone parent not in employment,46
E01004842,Bolton 012C,Bolton,Households with lone parent not in employment,5
E01004919,Bolton 012D,Bolton,Households with lone parent not in employment,10
E01004920,Bolton 012E,Bolton,Households with lone parent not in employment,28
E01004787,Bolton 013A,Bolton,Households with lone parent not in employment,54
E01004793,Bolton 013B,Bolton,Households with lone parent not in employment,43
E01004794,Bolton 013C,Bolton,Households with lone parent not in employment,66
E01004795,Bolton 013D,Bolton,Households with lone parent not in employment,26
E01004797,Bolton 013E,Bolton,Households with lone parent not in employment,40
E01004775,Bolton 014A,Bolton,Households with lone parent not in employment,4
E01004885,Bolton 014B,Bolton,Households with lone parent not in employment,3
E01004886,Bolton 014C,Bolton,Households with lone parent not in employment,24
E01004887,Bolton 014D,Bolton,Households with lone parent not in employment,18
E01004868,Bolton 015A,Bolton,Households with lone parent not in employment,34
E01004869,Bolton 015B,Bolton,Households with lone parent not in employment,52
E01004870,Bolton 015C,Bolton,Households with lone parent not in employment,15
E01004871,Bolton 015D,Bolton,Households with lone parent not in employment,35
E01004922,Bolton 015E,Bolton,Households with lone parent not in employment,31
E01004822,Bolton 016B,Bolton,Households with lone parent not in employment,30
E01004823,Bolton 016C,Bolton,Households with lone parent not in employment,47
E01004848,Bolton 016D,Bolton,Households with lone parent not in employment,38
