Geography,Measure Type,Unit,Value
E01004768,count,households,4
E01004803,count,households,5
E01004804,count,households,2
E01004807,count,households,5
E01004808,count,households,6
E01004788,count,households,3
E01004790,count,households,10
E01004805,count,households,8
E01004806,count,households,4
E01004810,count,households,8
E01004769,count,households,0
E01004770,count,households,2
E01004771,count,households,2
E01004773,count,households,10
E01004809,count,households,17
E01004777,count,households,21
E01004881,count,households,15
E01004888,count,households,12
E01004889,count,households,22
E01004890,count,households,11
E01004766,count,households,18
E01004767,count,households,10
E01004772,count,households,44
E01004774,count,households,29
E01004824,count,households,13
E01004784,count,households,1
E01004785,count,households,12
E01004786,count,households,7
E01004789,count,households,4
E01004791,count,households,2
E01004792,count,households,1
E01004779,count,households,14
E01004781,count,households,18
E01004882,count,households,9
E01004883,count,households,8
E01004884,count,households,1
E01004864,count,households,9
E01004867,count,households,27
E01004921,count,households,17
E01004924,count,households,4
E01004925,count,households,4
E01004778,count,households,1
E01004780,count,households,10
E01004782,count,households,6
E01004783,count,households,4
E01004802,count,households,57
E01004926,count,households,47
E01004927,count,households,63
E01004929,count,households,31
E01004820,count,households,40
E01004825,count,households,30
E01004826,count,households,42
E01004865,count,households,11
E01004866,count,households,43
E01004840,count,households,15
E01004841,count,households,46
E01004842,count,households,5
E01004919,count,households,10
E01004920,count,households,28
E01004787,count,households,54
E01004793,count,households,43
E01004794,count,households,66
E01004795,count,households,26
E01004797,count,households,40
E01004775,count,households,4
E01004885,count,households,3
E01004886,count,households,24
E01004887,count,households,18
E01004868,count,households,34
E01004869,count,households,52
E01004870,count,households,15
E01004871,count,households,35
E01004922,count,households,31
E01004822,count,households,30
E01004823,count,households,47
E01004848,count,households,38
E01033217,count,households,14
E01033220,count,households,27
E01004818,count,households,18
E01004819,count,households,11
E01004928,count,households,37
E01004930,count,households,17
E01004931,count,households,31
E01004932,count,households,18
E01004834,count,households,19
E01004838,count,households,39
E01004843,count,households,3
E01004845,count,households,5
E01004923,count,households,13
E01004796,count,households,14
E01004798,count,households,39
E01004799,count,households,7
E01004800,count,households,4
E01004801,count,households,70
E01004917,count,households,44
E01004835,count,households,2
E01004836,count,households,4
E01004837,count,households,2
E01004844,count,households,4
E01004897,count,households,9
E01004827,count,households,41
E01004849,count,households,24
E01004850,count,households,39
E01004851,count,households,17
E01004853,count,households,32
E01004811,count,households,40
E01004812,count,households,30
E01004813,count,households,27
E01004815,count,households,28
E01004817,count,households,15
E01004828,count,households,35
E01004829,count,households,17
E01004832,count,households,23
E01004854,count,households,19
E01004878,count,households,14
E01004911,count,households,22
E01004912,count,households,5
E01004913,count,households,23
E01004914,count,households,6
E01004915,count,households,9
E01004916,count,households,18
E01004918,count,households,2
E01004846,count,households,29
E01004847,count,households,59
E01004852,count,households,17
E01004877,count,households,48
E01004879,count,households,33
E01004830,count,households,28
E01004831,count,households,10
E01004833,count,households,6
E01004839,count,households,46
E01004814,count,households,29
E01004855,count,households,30
E01004856,count,households,38
E01004857,count,households,46
E01004891,count,households,2
E01004893,count,households,2
E01004894,count,households,20
E01004901,count,households,4
E01033218,count,households,8
E01033219,count,households,4
E01004816,count,households,18
E01004872,count,households,36
E01004873,count,households,48
E01004875,count,households,21
E01004880,count,households,9
E01004892,count,households,2
E01004896,count,households,2
E01004899,count,households,13
E01004900,count,households,11
E01004776,count,households,21
E01004895,count,households,16
E01004936,count,households,8
E01004938,count,households,35
E01004939,count,households,24
E01004858,count,households,16
E01004859,count,households,36
E01004860,count,households,32
E01004902,count,households,19
E01004906,count,households,25
E01004861,count,households,54
E01004862,count,households,49
E01004863,count,households,37
E01004874,count,households,45
E01004876,count,households,50
E01004903,count,households,8
E01004904,count,households,15
E01004905,count,households,26
