Geography,Measure Type,Unit,Value
E05000650,count,persons,8858
E05000651,count,persons,6323
E05000652,count,persons,8447
E05000653,count,persons,8273
E05000654,count,persons,10604
E05000655,count,persons,10247
E05000656,count,persons,9877
E05000657,count,persons,9314
E05000658,count,persons,8922
E05000659,count,persons,8225
E05000660,count,persons,8105
E05000661,count,persons,7606
E05000662,count,persons,8656
E05000663,count,persons,9300
E05000664,count,persons,7446
E05000665,count,persons,10776
E05000666,count,persons,8821
E05000667,count,persons,8640
E05000668,count,persons,8928
E05000669,count,persons,8427
E05000670,count,persons,6815
E05000671,count,persons,5955
E05000672,count,persons,7328
E05000673,count,persons,7231
E05000674,count,persons,7172
E05000675,count,persons,7883
E05000676,count,persons,5295
E05000677,count,persons,5769
E05000678,count,persons,7744
E05000679,count,persons,6786
E05000680,count,persons,7618
E05000681,count,persons,7452
E05000682,count,persons,7712
E05000683,count,persons,6549
E05000684,count,persons,7627
E05000685,count,persons,6095
E05000686,count,persons,5666
E05000687,count,persons,15407
E05000688,count,persons,15369
E05000689,count,persons,9468
E05000690,count,persons,13542
E05000691,count,persons,9431
E05000692,count,persons,9729
E05000693,count,persons,9278
E05000694,count,persons,16955
E05000695,count,persons,10301
E05000696,count,persons,11339
E05000697,count,persons,24179
E05000698,count,persons,11334
E05000699,count,persons,9620
E05000700,count,persons,9313
E05000701,count,persons,12156
E05000702,count,persons,11330
E05000703,count,persons,14070
E05000704,count,persons,12524
E05000705,count,persons,8858
E05000706,count,persons,16796
E05000707,count,persons,11746
E05000708,count,persons,11386
E05000709,count,persons,10007
E05000710,count,persons,16001
E05000711,count,persons,9546
E05000712,count,persons,9358
E05000713,count,persons,11412
E05000714,count,persons,11485
E05000715,count,persons,10939
E05000716,count,persons,11225
E05000717,count,persons,11626
E05000718,count,persons,9019
E05000719,count,persons,8565
E05000720,count,persons,6869
E05000721,count,persons,6744
E05000722,count,persons,6946
E05000723,count,persons,8421
E05000724,count,persons,6029
E05000725,count,persons,6620
E05000726,count,persons,6272
E05000727,count,persons,7303
E05000728,count,persons,8682
E05000729,count,persons,5838
E05000730,count,persons,6763
E05000731,count,persons,5899
E05000732,count,persons,5983
E05000733,count,persons,6832
E05000734,count,persons,7684
E05000735,count,persons,9298
E05000736,count,persons,6303
E05000737,count,persons,8102
E05000738,count,persons,8374
E05000739,count,persons,6867
E05000740,count,persons,5504
E05000741,count,persons,6424
E05000742,count,persons,7526
E05000743,count,persons,6707
E05000744,count,persons,6576
E05000745,count,persons,7574
E05000746,count,persons,7992
E05000747,count,persons,5545
E05000748,count,persons,7725
E05000749,count,persons,6264
E05000750,count,persons,5818
E05000751,count,persons,6709
E05000752,count,persons,6890
E05000753,count,persons,7376
E05000754,count,persons,5903
E05000755,count,persons,7029
E05000756,count,persons,6806
E05000757,count,persons,7346
E05000758,count,persons,7571
E05000759,count,persons,8557
E05000760,count,persons,5890
E05000761,count,persons,10205
E05000762,count,persons,6854
E05000763,count,persons,6544
E05000764,count,persons,7594
E05000765,count,persons,5889
E05000766,count,persons,10208
E05000767,count,persons,7615
E05000768,count,persons,10072
E05000769,count,persons,8489
E05000770,count,persons,16188
E05000771,count,persons,9184
E05000772,count,persons,7119
E05000773,count,persons,7176
E05000774,count,persons,7885
E05000775,count,persons,6183
E05000776,count,persons,8684
E05000777,count,persons,8327
E05000778,count,persons,5931
E05000779,count,persons,7606
E05000780,count,persons,6614
E05000781,count,persons,8100
E05000782,count,persons,8163
E05000783,count,persons,10556
E05000784,count,persons,8899
E05000785,count,persons,8100
E05000786,count,persons,8429
E05000787,count,persons,9982
E05000788,count,persons,9746
E05000789,count,persons,8481
E05000790,count,persons,7442
E05000791,count,persons,8913
E05000792,count,persons,9034
E05000793,count,persons,8813
E05000794,count,persons,7075
E05000795,count,persons,6270
E05000796,count,persons,8564
E05000797,count,persons,9490
E05000798,count,persons,8952
E05000799,count,persons,7849
E05000800,count,persons,6820
E05000801,count,persons,7928
E05000802,count,persons,7234
E05000803,count,persons,7676
E05000804,count,persons,6945
E05000805,count,persons,6441
E05000806,count,persons,6883
E05000807,count,persons,7578
E05000808,count,persons,7002
E05000809,count,persons,8194
E05000810,count,persons,6797
E05000811,count,persons,7578
E05000812,count,persons,8896
E05000813,count,persons,7086
E05000814,count,persons,6050
E05000815,count,persons,7227
E05000816,count,persons,8570
E05000817,count,persons,8148
E05000818,count,persons,6929
E05000819,count,persons,8053
E05000820,count,persons,6134
E05000821,count,persons,5300
E05000822,count,persons,8586
E05000823,count,persons,6263
E05000824,count,persons,6331
E05000825,count,persons,8254
E05000826,count,persons,6008
E05000827,count,persons,5959
E05000828,count,persons,6480
E05000829,count,persons,8206
E05000830,count,persons,5549
E05000831,count,persons,6726
E05000832,count,persons,8011
E05000833,count,persons,7685
E05000834,count,persons,7291
E05000835,count,persons,6564
E05000836,count,persons,7312
E05000837,count,persons,6671
E05000838,count,persons,7052
E05000839,count,persons,6391
E05000840,count,persons,10224
E05000841,count,persons,7320
E05000842,count,persons,7901
E05000843,count,persons,6987
E05000844,count,persons,7610
E05000845,count,persons,9428
E05000846,count,persons,7019
E05000847,count,persons,8733
E05000848,count,persons,7415
E05000849,count,persons,8399
E05000850,count,persons,6867
E05000851,count,persons,9174
E05000852,count,persons,7935
E05000853,count,persons,9088
E05000854,count,persons,9957
E05000855,count,persons,7641
E05000856,count,persons,7187
E05000857,count,persons,9167
E05000858,count,persons,6883
E05000859,count,persons,7315
E05000860,count,persons,9633
E05000861,count,persons,7779
E05000862,count,persons,8317
E05000863,count,persons,7221
E05000864,count,persons,7561
E08000001,count,persons,175795
E08000002,count,persons,116697
E08000003,count,persons,384749
E08000004,count,persons,143527
E08000005,count,persons,136152
E08000006,count,persons,164594
E08000007,count,persons,177078
E08000008,count,persons,139982
E08000009,count,persons,144826
E08000010,count,persons,202761
E47000001,count,persons,1786161
