service,name,address,postcode,type,email,website
Manchester,Abraham Moss Library,"Crescent Road, Crumpsall",M8 5UF,Local authority run library,libraries@manchester.gov.uk,http://www.manchester.gov.uk/directory_record/87763/abraham_moss_library
Manchester,Arcadia library and leisure centre,"Yew Tree Avenue, Levenshulme",M19 3PH,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/146625/arcadia_library_and_leisure_centre
Manchester,Avenue Library and Learning Centre,"Victoria Avenue East, Blackley",M9 6HW,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87755/avenue_library_and_learning_centre
Manchester,Barlow Moor Community Library,"3 Merseybank Avenue, Chorlton",M21 7NN,Community run library,NA,http://www.manchester.gov.uk/directory_record/110747/barlow_moor_community_library
Manchester,Beswick Library,"60 Grey Mare Lane, Beswick",M11 3DS,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/110374/beswick_library
Manchester,Brooklands Library,"Moor Road, Wythenshawe",M23 9BP,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/110374/beswick_library
Manchester,"Burnage Library, Activity and Information Hub","Burnage Lane, Burnage",M19 1EW,Community run library,info@burnageactivityhub.org.uk,http://www.manchester.gov.uk/directory_record/87759/burnage_library_activity_and_information_hub
Manchester,Chorlton Library,"Manchester Road, Chorlton",M21 9PN,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87761/chorlton_library
Manchester,Didsbury Library,"692 Wilmslow Road, Didsbury",M21 9PN,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87764/didsbury_library
Manchester,Fallowfield Community Library,"The Place at Platt Lane, Platt Lane",M14 7FB,Community run library,NA,http://www.manchester.gov.uk/directory_record/87765/fallowfield_community_library
Manchester,Forum Library Wythenshawe,"Forum Square, Wythenshawe",M22 5RX,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87766/forum_library_wythenshawe
Manchester,Gorton Library,"Garratt Way, Gorton",M18 8HE,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87767/gorton_library
Manchester,Hulme High Street Library,"Hulme High Street, Moss Lane East",M15 5NN,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87769/hulme_high_street_library
Manchester,Longsight Library and Learning Centre,"519 Stockport Road, Longsight",M12 4NE,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87771/longsight_library_and_learning_centre
Manchester,Manchester Central library,"St Peters Square, City Centre",M2 5PD,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87760/central_library
Manchester,Miles Platting Community Library,"Victoria Mill Community Centre, Lower Vickers Street, Miles Platting",M40 8EE,Community run library,NA,http://www.manchester.gov.uk/directory_record/87772/miles_platting_community_library
Manchester,Moss Side Powerhouse Library,"140 Raby Street, Moss Side",M14 4SL,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87773/moss_side_powerhouse_library
Manchester,New Moston Community Library,"Nuthurst Road, New Moston",M40 3PJ,Community run library,NA,http://www.manchester.gov.uk/directory_record/87774/new_moston_community_library
Manchester,Newton Heath Library,"Old Church Street, Newton Heath",M40 2JB,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87775/newton_heath_library
Manchester,North City Library,"Rochdale Road, Harpurhey",M9 4AF,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87776/north_city_library
Manchester,Northenden Community Library,"Parkway Green House, 460 Palatine Road, Northenden",M22 4WL,Community run library,NA,http://www.manchester.gov.uk/directory_record/87777/northenden_community_library
Manchester,Withington Library,"410 Wilmslow Road, Withington",M20 3BN,Local authority run library,NA,http://www.manchester.gov.uk/directory_record/87778/withington_library
