service,name,address,postcode,type,email,website
Rochdale,Alkrington Library,"Kirkway, Middleton",M24 1LW,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Balderstone Library,"Balderstone Park, Rochdale",OL11 2HD,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Belfield Library,"Belfield Community School, Samson Street, Rochdale",OL16 2XW,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Castleton Library,"Castleton Community Centre, Manchester Road, Rochdale",OL11 3AF,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Darnhill Library,"Argyle Parade, Heywood",OL10 3RY,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Heywood Library,"Lance Corporal Stephen Shaw M C Way, Heywood",OL10 1LL,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Junction Community Library,"Jumbo Social Centre, Grimshaw Lane, Middleton",M24 2BW,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Langley library,"Langley Children's Centre, Windermere Road, Middleton",M24 4LA,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Littleborough Library,"Hare Hill Park, Littleborough",OL15 9HE,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Local Studies Library - Touchstones,"Touchstones Rochdale, The Esplanade, Rochdale",OL16 1AQ,Commissioned library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Middleton Library,"Long Street, Middleton",M24 6DU,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Milnrow Library,"Newhey Road, Milnrow",OL16 3PS,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Norden Library,"Norden Community School, Shawfield Lane, Rochdale",OL12 7RQ,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Rochdale Central Library,"Number One Riverside, Smith Street, Rochdale",OL16 1XU,Local authority run library,library.service@rochdale.gov.uk,NA
Rochdale,Smallbridge Library,"Smallbridge Library, Stevenson Square, Rochdale",OL12 9SA,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Smithybridge Library,"121-123 Smithy Bridge Road, Littleborough",OL12 9SA,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Spotland Library,"Ings Lane, Rochdale",OL12 7AL,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
Rochdale,Wardle Library,"448 Birch Road, Wardle, Rochdale",OL12 9LH,Local authority run library,library.service@rochdale.gov.uk,www.rochdale.gov.uk/libraries/
