service,name,address,postcode,type,email,website
Wigan,Ashton,"Wigan Road, Ashton-in-Makerfield",WN4 9BH,Local authority run library,Ashton.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Ashton-Library.aspx
Wigan,Aspull,"Oakfield Crescent, Aspull",WN2 1XJ,Community run library,Aspull.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Aspull-Library.aspx
Wigan,Atherton,"York Street, Atherton",M46 9JH,Local authority run library,Atherton.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Atherton-Library.aspx
Wigan,Golborne,"Tanner's Lane, Goldborne",WA3 3AW,Local authority run library,Golborne.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Golborne-Library.aspx
Wigan,Hindley,"First Avenue, Hindley",WN2 3EB,Local authority run library,Hindley.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Hindley-Library.aspx
Wigan,Hope Community,"2, The Community Complex, Highfield Grange, Winstanley",WN3 6GH,Community run library,hope.library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Hope-Community-Library.aspx
Wigan,Ince,"Ince Community Centre, Mancherster Road",WN2 2DJ,Local authority run library,Ince.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Ince-Library.aspx
Wigan,Lamberhead Green,"Abraham Guest Academy, Greenhey, Orrell",WN5 0DQ,Local authority run library,Lamberhead.library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Lamberhead-Green-Library.aspx
Wigan,Leigh,"Civic Square, Leigh",WN7 1EB,Local authority run library,Leigh.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Leigh-Library.aspx
Wigan,Marsh Green,"Harrow Road, Marsh Green",WN5 0QL,Local authority run library,Marshgreen.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Marsh-Green-Library.aspx
Wigan,Platt Bridge,"Rivington Avenue, Platt Bridge",WN2 5NG,Local authority run library,plattbridge.library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Platt-Bridge-Library.aspx
Wigan,Shevington,"Gathurst Lane, Shevington",WN6 8HA,Local authority run library,Shevington.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Shevington-Library.aspx
Wigan,Standish,"Cross Street, Standish",WN6 0HQ,Local authority run library,Standish.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Standish-Library.aspx
Wigan,Tyldesley,"Stanley Street, Tyldesley",M29 8AH,Local authority run library,Tyldesley.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Tyldesley-Library.aspx
Wigan,Wigan,"Wigan Life Centre, The Wiend",WN1 1NH,Local authority run library,Wigan.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Wigan-Library.aspx
