
"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 3 November 2017]"
"Analysis   :","standard"
"Date       :","September 2017"
"Age        :","All categories: Age 16+"
"measure    :","Claimant count"

"2011 super output area - lower layer","mnemonic","Total","Male","Female"

"Bolton 001A","E01004768",5,5,0
"Bolton 001B","E01004803",10,5,5
"Bolton 001C","E01004804",5,0,0
"Bolton 001D","E01004807",10,5,5
"Bolton 001E","E01004808",5,5,0
"Bolton 002A","E01004788",5,0,5
"Bolton 002B","E01004790",15,10,5
"Bolton 002C","E01004805",5,5,5
"Bolton 002D","E01004806",10,5,5
"Bolton 002E","E01004810",10,10,0
"Bolton 003A","E01004769",15,10,5
"Bolton 003B","E01004770",5,5,5
"Bolton 003C","E01004771",5,5,0
"Bolton 003D","E01004773",20,10,10
"Bolton 003E","E01004809",25,15,10
"Bolton 004A","E01004777",20,10,10
"Bolton 004B","E01004881",25,10,15
"Bolton 004C","E01004888",25,15,10
"Bolton 004D","E01004889",25,15,10
"Bolton 004E","E01004890",15,10,10
"Bolton 005A","E01004766",25,15,10
"Bolton 005B","E01004767",30,20,10
"Bolton 005C","E01004772",60,35,25
"Bolton 005D","E01004774",45,25,20
"Bolton 005E","E01004824",40,25,15
"Bolton 006A","E01004784",5,5,0
"Bolton 006B","E01004785",15,10,10
"Bolton 006C","E01004786",10,5,5
"Bolton 006D","E01004789",5,0,0
"Bolton 006E","E01004791",5,5,0
"Bolton 006F","E01004792",5,5,0
"Bolton 007A","E01004779",15,10,10
"Bolton 007B","E01004781",20,10,10
"Bolton 007C","E01004882",10,5,0
"Bolton 007D","E01004883",25,15,10
"Bolton 007E","E01004884",5,5,0
"Bolton 008A","E01004864",25,15,10
"Bolton 008B","E01004867",30,20,10
"Bolton 008C","E01004921",30,15,15
"Bolton 008D","E01004924",5,5,0
"Bolton 008E","E01004925",15,10,5
"Bolton 009A","E01004778",10,5,5
"Bolton 009B","E01004780",15,10,10
"Bolton 009C","E01004782",20,10,10
"Bolton 009D","E01004783",5,5,0
"Bolton 010A","E01004802",55,30,25
"Bolton 010B","E01004926",55,25,30
"Bolton 010C","E01004927",80,45,35
"Bolton 010D","E01004929",30,20,15
"Bolton 011A","E01004820",90,55,35
"Bolton 011B","E01004825",65,50,15
"Bolton 011C","E01004826",55,35,25
"Bolton 011D","E01004865",35,20,15
"Bolton 011E","E01004866",70,45,25
"Bolton 012A","E01004840",15,10,5
"Bolton 012B","E01004841",80,50,35
"Bolton 012C","E01004842",5,0,5
"Bolton 012D","E01004919",15,10,5
"Bolton 012E","E01004920",35,20,15
"Bolton 013A","E01004787",90,45,45
"Bolton 013B","E01004793",75,50,30
"Bolton 013C","E01004794",100,55,45
"Bolton 013D","E01004795",60,40,20
"Bolton 013E","E01004797",55,35,20
"Bolton 014A","E01004775",10,5,5
"Bolton 014B","E01004885",0,0,0
"Bolton 014C","E01004886",30,20,10
"Bolton 014D","E01004887",15,10,5
"Bolton 015A","E01004868",55,30,25
"Bolton 015B","E01004869",65,40,25
"Bolton 015C","E01004870",90,75,20
"Bolton 015D","E01004871",35,20,15
"Bolton 015E","E01004922",55,30,25
"Bolton 016B","E01004822",65,40,20
"Bolton 016C","E01004823",120,85,35
"Bolton 016D","E01004848",85,50,30
"Bolton 016E","E01033217",50,35,15
"Bolton 016F","E01033220",90,70,20
"Bolton 017A","E01004818",100,90,10
"Bolton 017B","E01004819",30,20,5
"Bolton 017C","E01004928",55,35,20
"Bolton 017D","E01004930",15,10,10
"Bolton 017E","E01004931",35,25,10
"Bolton 017F","E01004932",35,25,15
"Bolton 018A","E01004834",30,15,10
"Bolton 018B","E01004838",55,25,30
"Bolton 018C","E01004843",5,5,5
"Bolton 018D","E01004845",10,10,0
"Bolton 018E","E01004923",40,25,15
"Bolton 019A","E01004796",25,20,5
"Bolton 019B","E01004798",40,25,20
"Bolton 019C","E01004799",10,10,0
"Bolton 019D","E01004800",10,5,5
"Bolton 019E","E01004801",70,40,30
"Bolton 019F","E01004917",40,20,20
