date,lsoa11nm,lsoa11cd,lad17nm,measure,value
2011-03-27,Bolton 001A,E01004768,Bolton,Social rented households,5
2011-03-27,Bolton 001B,E01004803,Bolton,Social rented households,1
2011-03-27,Bolton 001C,E01004804,Bolton,Social rented households,17
2011-03-27,Bolton 001D,E01004807,Bolton,Social rented households,1
2011-03-27,Bolton 001E,E01004808,Bolton,Social rented households,3
2011-03-27,Bolton 002A,E01004788,Bolton,Social rented households,2
2011-03-27,Bolton 002B,E01004790,Bolton,Social rented households,73
2011-03-27,Bolton 002C,E01004805,Bolton,Social rented households,20
2011-03-27,Bolton 002D,E01004806,Bolton,Social rented households,19
2011-03-27,Bolton 002E,E01004810,Bolton,Social rented households,15
2011-03-27,Bolton 003A,E01004769,Bolton,Social rented households,2
2011-03-27,Bolton 003B,E01004770,Bolton,Social rented households,6
2011-03-27,Bolton 003C,E01004771,Bolton,Social rented households,1
2011-03-27,Bolton 003D,E01004773,Bolton,Social rented households,14
2011-03-27,Bolton 003E,E01004809,Bolton,Social rented households,155
2011-03-27,Bolton 004A,E01004777,Bolton,Social rented households,141
2011-03-27,Bolton 004B,E01004881,Bolton,Social rented households,190
2011-03-27,Bolton 004C,E01004888,Bolton,Social rented households,138
2011-03-27,Bolton 004D,E01004889,Bolton,Social rented households,154
2011-03-27,Bolton 004E,E01004890,Bolton,Social rented households,26
2011-03-27,Bolton 005A,E01004766,Bolton,Social rented households,112
2011-03-27,Bolton 005B,E01004767,Bolton,Social rented households,57
2011-03-27,Bolton 005C,E01004772,Bolton,Social rented households,359
2011-03-27,Bolton 005D,E01004774,Bolton,Social rented households,152
2011-03-27,Bolton 005E,E01004824,Bolton,Social rented households,80
2011-03-27,Bolton 006A,E01004784,Bolton,Social rented households,4
2011-03-27,Bolton 006B,E01004785,Bolton,Social rented households,84
2011-03-27,Bolton 006C,E01004786,Bolton,Social rented households,54
2011-03-27,Bolton 006D,E01004789,Bolton,Social rented households,4
2011-03-27,Bolton 006E,E01004791,Bolton,Social rented households,33
2011-03-27,Bolton 006F,E01004792,Bolton,Social rented households,1
2011-03-27,Bolton 007A,E01004779,Bolton,Social rented households,100
2011-03-27,Bolton 007B,E01004781,Bolton,Social rented households,43
2011-03-27,Bolton 007C,E01004882,Bolton,Social rented households,93
2011-03-27,Bolton 007D,E01004883,Bolton,Social rented households,18
2011-03-27,Bolton 007E,E01004884,Bolton,Social rented households,12
2011-03-27,Bolton 008A,E01004864,Bolton,Social rented households,62
2011-03-27,Bolton 008B,E01004867,Bolton,Social rented households,48
2011-03-27,Bolton 008C,E01004921,Bolton,Social rented households,59
2011-03-27,Bolton 008D,E01004924,Bolton,Social rented households,9
2011-03-27,Bolton 008E,E01004925,Bolton,Social rented households,26
2011-03-27,Bolton 009A,E01004778,Bolton,Social rented households,18
2011-03-27,Bolton 009B,E01004780,Bolton,Social rented households,17
2011-03-27,Bolton 009C,E01004782,Bolton,Social rented households,133
2011-03-27,Bolton 009D,E01004783,Bolton,Social rented households,13
2011-03-27,Bolton 010A,E01004802,Bolton,Social rented households,449
2011-03-27,Bolton 010B,E01004926,Bolton,Social rented households,285
2011-03-27,Bolton 010C,E01004927,Bolton,Social rented households,439
2011-03-27,Bolton 010D,E01004929,Bolton,Social rented households,265
2011-03-27,Bolton 011A,E01004820,Bolton,Social rented households,296
2011-03-27,Bolton 011B,E01004825,Bolton,Social rented households,298
2011-03-27,Bolton 011C,E01004826,Bolton,Social rented households,187
2011-03-27,Bolton 011D,E01004865,Bolton,Social rented households,161
2011-03-27,Bolton 011E,E01004866,Bolton,Social rented households,417
2011-03-27,Bolton 012A,E01004840,Bolton,Social rented households,79
2011-03-27,Bolton 012B,E01004841,Bolton,Social rented households,450
2011-03-27,Bolton 012C,E01004842,Bolton,Social rented households,55
2011-03-27,Bolton 012D,E01004919,Bolton,Social rented households,12
2011-03-27,Bolton 012E,E01004920,Bolton,Social rented households,156
2011-03-27,Bolton 013A,E01004787,Bolton,Social rented households,496
2011-03-27,Bolton 013B,E01004793,Bolton,Social rented households,386
2011-03-27,Bolton 013C,E01004794,Bolton,Social rented households,385
2011-03-27,Bolton 013D,E01004795,Bolton,Social rented households,253
2011-03-27,Bolton 013E,E01004797,Bolton,Social rented households,228
2011-03-27,Bolton 014A,E01004775,Bolton,Social rented households,13
2011-03-27,Bolton 014B,E01004885,Bolton,Social rented households,11
2011-03-27,Bolton 014C,E01004886,Bolton,Social rented households,224
2011-03-27,Bolton 014D,E01004887,Bolton,Social rented households,210
2011-03-27,Bolton 015A,E01004868,Bolton,Social rented households,90
2011-03-27,Bolton 015B,E01004869,Bolton,Social rented households,184
2011-03-27,Bolton 015C,E01004870,Bolton,Social rented households,49
2011-03-27,Bolton 015D,E01004871,Bolton,Social rented households,49
2011-03-27,Bolton 015E,E01004922,Bolton,Social rented households,178
2011-03-27,Bolton 016B,E01004822,Bolton,Social rented households,275
2011-03-27,Bolton 016C,E01004823,Bolton,Social rented households,563
2011-03-27,Bolton 016D,E01004848,Bolton,Social rented households,442
2011-03-27,Bolton 016E,E01033217,Bolton,Social rented households,345
2011-03-27,Bolton 016F,E01033220,Bolton,Social rented households,468
2011-03-27,Bolton 017A,E01004818,Bolton,Social rented households,201
2011-03-27,Bolton 017B,E01004819,Bolton,Social rented households,46
2011-03-27,Bolton 017C,E01004928,Bolton,Social rented households,80
2011-03-27,Bolton 017D,E01004930,Bolton,Social rented households,42
2011-03-27,Bolton 017E,E01004931,Bolton,Social rented households,271
2011-03-27,Bolton 017F,E01004932,Bolton,Social rented households,33
2011-03-27,Bolton 018A,E01004834,Bolton,Social rented households,33
2011-03-27,Bolton 018B,E01004838,Bolton,Social rented households,152
2011-03-27,Bolton 018C,E01004843,Bolton,Social rented households,8
2011-03-27,Bolton 018D,E01004845,Bolton,Social rented households,42
2011-03-27,Bolton 018E,E01004923,Bolton,Social rented households,10
2011-03-27,Bolton 019A,E01004796,Bolton,Social rented households,25
2011-03-27,Bolton 019B,E01004798,Bolton,Social rented households,214
2011-03-27,Bolton 019C,E01004799,Bolton,Social rented households,7
2011-03-27,Bolton 019D,E01004800,Bolton,Social rented households,7
2011-03-27,Bolton 019E,E01004801,Bolton,Social rented households,446
2011-03-27,Bolton 019F,E01004917,Bolton,Social rented households,163
2011-03-27,Bolton 020A,E01004835,Bolton,Social rented households,26
2011-03-27,Bolton 020B,E01004836,Bolton,Social rented households,6
2011-03-27,Bolton 020C,E01004837,Bolton,Social rented households,7
2011-03-27,Bolton 020D,E01004844,Bolton,Social rented households,6
2011-03-27,Bolton 020E,E01004897,Bolton,Social rented households,4
2011-03-27,Bolton 021A,E01004827,Bolton,Social rented households,285
2011-03-27,Bolton 021B,E01004849,Bolton,Social rented households,115
2011-03-27,Bolton 021C,E01004850,Bolton,Social rented households,402
2011-03-27,Bolton 021D,E01004851,Bolton,Social rented households,361
2011-03-27,Bolton 021E,E01004853,Bolton,Social rented households,206
2011-03-27,Bolton 022A,E01004811,Bolton,Social rented households,227
2011-03-27,Bolton 022B,E01004812,Bolton,Social rented households,103
2011-03-27,Bolton 022C,E01004813,Bolton,Social rented households,111
2011-03-27,Bolton 022D,E01004815,Bolton,Social rented households,140
2011-03-27,Bolton 022E,E01004817,Bolton,Social rented households,230
2011-03-27,Bolton 023A,E01004828,Bolton,Social rented households,164
2011-03-27,Bolton 023B,E01004829,Bolton,Social rented households,95
2011-03-27,Bolton 023C,E01004832,Bolton,Social rented households,28
2011-03-27,Bolton 023D,E01004854,Bolton,Social rented households,57
2011-03-27,Bolton 023E,E01004878,Bolton,Social rented households,67
2011-03-27,Bolton 024A,E01004911,Bolton,Social rented households,237
2011-03-27,Bolton 024B,E01004912,Bolton,Social rented households,21
2011-03-27,Bolton 024C,E01004913,Bolton,Social rented households,95
2011-03-27,Bolton 024D,E01004914,Bolton,Social rented households,19
2011-03-27,Bolton 024E,E01004915,Bolton,Social rented households,7
2011-03-27,Bolton 024F,E01004916,Bolton,Social rented households,173
2011-03-27,Bolton 024G,E01004918,Bolton,Social rented households,6
2011-03-27,Bolton 025A,E01004846,Bolton,Social rented households,138
2011-03-27,Bolton 025B,E01004847,Bolton,Social rented households,248
2011-03-27,Bolton 025C,E01004852,Bolton,Social rented households,97
2011-03-27,Bolton 025D,E01004877,Bolton,Social rented households,448
2011-03-27,Bolton 025E,E01004879,Bolton,Social rented households,229
2011-03-27,Bolton 026A,E01004830,Bolton,Social rented households,186
2011-03-27,Bolton 026B,E01004831,Bolton,Social rented households,23
2011-03-27,Bolton 026C,E01004833,Bolton,Social rented households,20
2011-03-27,Bolton 026D,E01004839,Bolton,Social rented households,593
2011-03-27,Bolton 027A,E01004814,Bolton,Social rented households,97
2011-03-27,Bolton 027B,E01004855,Bolton,Social rented households,78
2011-03-27,Bolton 027C,E01004856,Bolton,Social rented households,210
2011-03-27,Bolton 027D,E01004857,Bolton,Social rented households,180
2011-03-27,Bolton 028A,E01004891,Bolton,Social rented households,59
2011-03-27,Bolton 028B,E01004893,Bolton,Social rented households,4
2011-03-27,Bolton 028C,E01004894,Bolton,Social rented households,76
2011-03-27,Bolton 028E,E01004901,Bolton,Social rented households,20
2011-03-27,Bolton 028F,E01033218,Bolton,Social rented households,33
2011-03-27,Bolton 028G,E01033219,Bolton,Social rented households,10
2011-03-27,Bolton 029A,E01004816,Bolton,Social rented households,96
2011-03-27,Bolton 029B,E01004872,Bolton,Social rented households,145
2011-03-27,Bolton 029C,E01004873,Bolton,Social rented households,203
2011-03-27,Bolton 029D,E01004875,Bolton,Social rented households,78
2011-03-27,Bolton 029E,E01004880,Bolton,Social rented households,12
2011-03-27,Bolton 030A,E01004892,Bolton,Social rented households,23
2011-03-27,Bolton 030B,E01004896,Bolton,Social rented households,4
2011-03-27,Bolton 030C,E01004899,Bolton,Social rented households,84
2011-03-27,Bolton 030D,E01004900,Bolton,Social rented households,23
2011-03-27,Bolton 031A,E01004776,Bolton,Social rented households,129
2011-03-27,Bolton 031B,E01004895,Bolton,Social rented households,169
2011-03-27,Bolton 031C,E01004936,Bolton,Social rented households,61
2011-03-27,Bolton 031D,E01004938,Bolton,Social rented households,349
2011-03-27,Bolton 031E,E01004939,Bolton,Social rented households,148
2011-03-27,Bolton 032A,E01004858,Bolton,Social rented households,220
2011-03-27,Bolton 032B,E01004859,Bolton,Social rented households,361
2011-03-27,Bolton 032C,E01004860,Bolton,Social rented households,121
2011-03-27,Bolton 032D,E01004902,Bolton,Social rented households,150
2011-03-27,Bolton 032E,E01004906,Bolton,Social rented households,291
2011-03-27,Bolton 033A,E01004861,Bolton,Social rented households,312
2011-03-27,Bolton 033B,E01004862,Bolton,Social rented households,335
2011-03-27,Bolton 033C,E01004863,Bolton,Social rented households,302
2011-03-27,Bolton 033D,E01004874,Bolton,Social rented households,206
2011-03-27,Bolton 033E,E01004876,Bolton,Social rented households,318
2011-03-27,Bolton 034A,E01004903,Bolton,Social rented households,30
2011-03-27,Bolton 034B,E01004904,Bolton,Social rented households,86
2011-03-27,Bolton 034C,E01004905,Bolton,Social rented households,157
2011-03-27,Bolton 034D,E01004907,Bolton,Social rented households,155
2011-03-27,Bolton 034E,E01004908,Bolton,Social rented households,59
2011-03-27,Bolton 034F,E01004909,Bolton,Social rented households,218
2011-03-27,Bolton 034G,E01004910,Bolton,Social rented households,79
2011-03-27,Bolton 035A,E01004933,Bolton,Social rented households,7
2011-03-27,Bolton 035B,E01004934,Bolton,Social rented households,118
2011-03-27,Bolton 035C,E01004935,Bolton,Social rented households,33
2011-03-27,Bolton 035D,E01004937,Bolton,Social rented households,15
2011-03-27,Bolton 035E,E01004940,Bolton,Social rented households,29
2011-03-27,Bury 001A,E01005014,Bury,Social rented households,50
2011-03-27,Bury 001B,E01005015,Bury,Social rented households,201
2011-03-27,Bury 001C,E01005016,Bury,Social rented households,18
2011-03-27,Bury 001D,E01005017,Bury,Social rented households,52
2011-03-27,Bury 001E,E01005018,Bury,Social rented households,115
2011-03-27,Bury 001F,E01005021,Bury,Social rented households,3
2011-03-27,Bury 002A,E01005019,Bury,Social rented households,27
2011-03-27,Bury 002B,E01005023,Bury,Social rented households,69
2011-03-27,Bury 002C,E01005046,Bury,Social rented households,0
2011-03-27,Bury 002D,E01005048,Bury,Social rented households,3
2011-03-27,Bury 003A,E01005020,Bury,Social rented households,2
2011-03-27,Bury 003B,E01005022,Bury,Social rented households,7
2011-03-27,Bury 003C,E01005047,Bury,Social rented households,2
2011-03-27,Bury 003D,E01005049,Bury,Social rented households,11
2011-03-27,Bury 003E,E01005051,Bury,Social rented households,58
2011-03-27,Bury 004A,E01004976,Bury,Social rented households,185
2011-03-27,Bury 004B,E01004977,Bury,Social rented households,108
2011-03-27,Bury 004C,E01004978,Bury,Social rented households,50
2011-03-27,Bury 004D,E01004981,Bury,Social rented households,71
2011-03-27,Bury 004E,E01004982,Bury,Social rented households,19
2011-03-27,Bury 005A,E01004961,Bury,Social rented households,172
2011-03-27,Bury 005B,E01004965,Bury,Social rented households,20
2011-03-27,Bury 005C,E01004966,Bury,Social rented households,222
2011-03-27,Bury 005D,E01004967,Bury,Social rented households,3
2011-03-27,Bury 006A,E01004963,Bury,Social rented households,82
2011-03-27,Bury 006B,E01004968,Bury,Social rented households,4
2011-03-27,Bury 006C,E01005050,Bury,Social rented households,32
2011-03-27,Bury 006D,E01005052,Bury,Social rented households,3
2011-03-27,Bury 006E,E01005053,Bury,Social rented households,47
2011-03-27,Bury 007A,E01004954,Bury,Social rented households,105
2011-03-27,Bury 007B,E01004955,Bury,Social rented households,98
2011-03-27,Bury 007C,E01004956,Bury,Social rented households,169
2011-03-27,Bury 007D,E01004957,Bury,Social rented households,464
2011-03-27,Bury 007E,E01004960,Bury,Social rented households,468
2011-03-27,Bury 008A,E01004958,Bury,Social rented households,151
2011-03-27,Bury 008B,E01004959,Bury,Social rented households,163
2011-03-27,Bury 008C,E01004979,Bury,Social rented households,187
2011-03-27,Bury 008D,E01004980,Bury,Social rented households,60
2011-03-27,Bury 008E,E01005024,Bury,Social rented households,113
2011-03-27,Bury 008F,E01005026,Bury,Social rented households,30
2011-03-27,Bury 009A,E01004947,Bury,Social rented households,86
2011-03-27,Bury 009B,E01004948,Bury,Social rented households,191
2011-03-27,Bury 009C,E01004962,Bury,Social rented households,9
2011-03-27,Bury 009D,E01004964,Bury,Social rented households,61
2011-03-27,Bury 010A,E01004949,Bury,Social rented households,1
2011-03-27,Bury 010B,E01004950,Bury,Social rented households,48
2011-03-27,Bury 010C,E01004951,Bury,Social rented households,2
2011-03-27,Bury 010D,E01004952,Bury,Social rented households,5
2011-03-27,Bury 010E,E01004953,Bury,Social rented households,63
2011-03-27,Bury 011A,E01005025,Bury,Social rented households,58
2011-03-27,Bury 011B,E01005027,Bury,Social rented households,102
2011-03-27,Bury 011C,E01005028,Bury,Social rented households,396
2011-03-27,Bury 011D,E01005029,Bury,Social rented households,56
2011-03-27,Bury 012A,E01005000,Bury,Social rented households,5
2011-03-27,Bury 012B,E01005001,Bury,Social rented households,28
2011-03-27,Bury 012C,E01005005,Bury,Social rented households,23
2011-03-27,Bury 012D,E01005006,Bury,Social rented households,125
2011-03-27,Bury 013A,E01005030,Bury,Social rented households,292
2011-03-27,Bury 013B,E01005054,Bury,Social rented households,33
2011-03-27,Bury 013C,E01005059,Bury,Social rented households,159
2011-03-27,Bury 013D,E01005060,Bury,Social rented households,63
2011-03-27,Bury 014A,E01004997,Bury,Social rented households,37
2011-03-27,Bury 014B,E01004998,Bury,Social rented households,13
2011-03-27,Bury 014C,E01004999,Bury,Social rented households,32
2011-03-27,Bury 014D,E01005002,Bury,Social rented households,71
2011-03-27,Bury 014E,E01005003,Bury,Social rented households,93
2011-03-27,Bury 015A,E01004991,Bury,Social rented households,64
2011-03-27,Bury 015B,E01004992,Bury,Social rented households,35
2011-03-27,Bury 015C,E01004993,Bury,Social rented households,152
2011-03-27,Bury 015D,E01004994,Bury,Social rented households,164
2011-03-27,Bury 016A,E01004990,Bury,Social rented households,113
2011-03-27,Bury 016B,E01004996,Bury,Social rented households,258
2011-03-27,Bury 016C,E01005004,Bury,Social rented households,556
2011-03-27,Bury 016D,E01005008,Bury,Social rented households,347
2011-03-27,Bury 016E,E01005009,Bury,Social rented households,204
2011-03-27,Bury 017A,E01004945,Bury,Social rented households,36
2011-03-27,Bury 017B,E01005055,Bury,Social rented households,4
2011-03-27,Bury 017C,E01005056,Bury,Social rented households,4
2011-03-27,Bury 017D,E01005057,Bury,Social rented households,54
2011-03-27,Bury 017E,E01005058,Bury,Social rented households,1
2011-03-27,Bury 018A,E01004995,Bury,Social rented households,7
2011-03-27,Bury 018B,E01005010,Bury,Social rented households,52
2011-03-27,Bury 018C,E01005012,Bury,Social rented households,205
2011-03-27,Bury 018D,E01005013,Bury,Social rented households,262
2011-03-27,Bury 019A,E01004984,Bury,Social rented households,9
2011-03-27,Bury 019B,E01004985,Bury,Social rented households,16
2011-03-27,Bury 019C,E01004989,Bury,Social rented households,5
2011-03-27,Bury 019D,E01005007,Bury,Social rented households,14
2011-03-27,Bury 019E,E01005011,Bury,Social rented households,8
2011-03-27,Bury 020A,E01004983,Bury,Social rented households,16
2011-03-27,Bury 020B,E01004986,Bury,Social rented households,136
2011-03-27,Bury 020C,E01004987,Bury,Social rented households,332
2011-03-27,Bury 020D,E01004988,Bury,Social rented households,66
2011-03-27,Bury 021A,E01004941,Bury,Social rented households,218
2011-03-27,Bury 021B,E01004942,Bury,Social rented households,354
2011-03-27,Bury 021C,E01004943,Bury,Social rented households,95
2011-03-27,Bury 021D,E01004944,Bury,Social rented households,23
2011-03-27,Bury 021E,E01004946,Bury,Social rented households,492
2011-03-27,Bury 022A,E01004969,Bury,Social rented households,35
2011-03-27,Bury 022B,E01004970,Bury,Social rented households,21
2011-03-27,Bury 022C,E01004971,Bury,Social rented households,2
2011-03-27,Bury 022D,E01005034,Bury,Social rented households,22
2011-03-27,Bury 023A,E01004972,Bury,Social rented households,201
2011-03-27,Bury 023B,E01004973,Bury,Social rented households,22
2011-03-27,Bury 023C,E01004975,Bury,Social rented households,127
2011-03-27,Bury 023D,E01005039,Bury,Social rented households,205
2011-03-27,Bury 023E,E01005045,Bury,Social rented households,103
2011-03-27,Bury 024A,E01004974,Bury,Social rented households,13
2011-03-27,Bury 024B,E01005033,Bury,Social rented households,15
2011-03-27,Bury 024C,E01005036,Bury,Social rented households,365
2011-03-27,Bury 024D,E01005037,Bury,Social rented households,5
2011-03-27,Bury 025A,E01005031,Bury,Social rented households,154
2011-03-27,Bury 025B,E01005032,Bury,Social rented households,195
2011-03-27,Bury 025C,E01005035,Bury,Social rented households,60
2011-03-27,Bury 025D,E01005038,Bury,Social rented households,6
2011-03-27,Bury 026A,E01005040,Bury,Social rented households,59
2011-03-27,Bury 026B,E01005041,Bury,Social rented households,3
2011-03-27,Bury 026C,E01005042,Bury,Social rented households,57
2011-03-27,Bury 026D,E01005043,Bury,Social rented households,3
2011-03-27,Bury 026E,E01005044,Bury,Social rented households,32
2011-03-27,Manchester 001A,E01005098,Manchester,Social rented households,474
2011-03-27,Manchester 001B,E01005099,Manchester,Social rented households,502
2011-03-27,Manchester 001C,E01005100,Manchester,Social rented households,213
2011-03-27,Manchester 001D,E01005102,Manchester,Social rented households,47
2011-03-27,Manchester 001E,E01005103,Manchester,Social rented households,389
2011-03-27,Manchester 002A,E01005101,Manchester,Social rented households,298
2011-03-27,Manchester 002B,E01005135,Manchester,Social rented households,312
2011-03-27,Manchester 002C,E01005136,Manchester,Social rented households,151
2011-03-27,Manchester 002D,E01005138,Manchester,Social rented households,589
2011-03-27,Manchester 002E,E01005140,Manchester,Social rented households,208
2011-03-27,Manchester 003B,E01005139,Manchester,Social rented households,151
2011-03-27,Manchester 003C,E01005141,Manchester,Social rented households,543
2011-03-27,Manchester 003D,E01005251,Manchester,Social rented households,265
2011-03-27,Manchester 003E,E01005252,Manchester,Social rented households,331
2011-03-27,Manchester 003F,E01033685,Manchester,Social rented households,119
2011-03-27,Manchester 003G,E01033687,Manchester,Social rented households,459
2011-03-27,Manchester 004A,E01005104,Manchester,Social rented households,379
2011-03-27,Manchester 004B,E01005160,Manchester,Social rented households,84
2011-03-27,Manchester 004C,E01005161,Manchester,Social rented households,11
2011-03-27,Manchester 004D,E01005162,Manchester,Social rented households,124
2011-03-27,Manchester 004E,E01005163,Manchester,Social rented households,41
2011-03-27,Manchester 005A,E01005247,Manchester,Social rented households,54
2011-03-27,Manchester 005B,E01005248,Manchester,Social rented households,25
2011-03-27,Manchester 005C,E01005249,Manchester,Social rented households,208
2011-03-27,Manchester 005D,E01005250,Manchester,Social rented households,286
