date,lsoa11nm,lsoa11cd,lad17nm,measure,value
2011-03-27,Bolton 001A,E01004768,Bolton,Working-age adults with no qualifications,73
2011-03-27,Bolton 001B,E01004803,Bolton,Working-age adults with no qualifications,48
2011-03-27,Bolton 001C,E01004804,Bolton,Working-age adults with no qualifications,76
2011-03-27,Bolton 001D,E01004807,Bolton,Working-age adults with no qualifications,62
2011-03-27,Bolton 001E,E01004808,Bolton,Working-age adults with no qualifications,65
2011-03-27,Bolton 002A,E01004788,Bolton,Working-age adults with no qualifications,48
2011-03-27,Bolton 002B,E01004790,Bolton,Working-age adults with no qualifications,80
2011-03-27,Bolton 002C,E01004805,Bolton,Working-age adults with no qualifications,85
2011-03-27,Bolton 002D,E01004806,Bolton,Working-age adults with no qualifications,82
2011-03-27,Bolton 002E,E01004810,Bolton,Working-age adults with no qualifications,75
2011-03-27,Bolton 003A,E01004769,Bolton,Working-age adults with no qualifications,87
2011-03-27,Bolton 003B,E01004770,Bolton,Working-age adults with no qualifications,109
2011-03-27,Bolton 003C,E01004771,Bolton,Working-age adults with no qualifications,78
2011-03-27,Bolton 003D,E01004773,Bolton,Working-age adults with no qualifications,147
2011-03-27,Bolton 003E,E01004809,Bolton,Working-age adults with no qualifications,135
2011-03-27,Bolton 004A,E01004777,Bolton,Working-age adults with no qualifications,163
2011-03-27,Bolton 004B,E01004881,Bolton,Working-age adults with no qualifications,161
2011-03-27,Bolton 004C,E01004888,Bolton,Working-age adults with no qualifications,146
2011-03-27,Bolton 004D,E01004889,Bolton,Working-age adults with no qualifications,176
2011-03-27,Bolton 004E,E01004890,Bolton,Working-age adults with no qualifications,118
2011-03-27,Bolton 005A,E01004766,Bolton,Working-age adults with no qualifications,156
2011-03-27,Bolton 005B,E01004767,Bolton,Working-age adults with no qualifications,146
2011-03-27,Bolton 005C,E01004772,Bolton,Working-age adults with no qualifications,235
2011-03-27,Bolton 005D,E01004774,Bolton,Working-age adults with no qualifications,197
2011-03-27,Bolton 005E,E01004824,Bolton,Working-age adults with no qualifications,415
2011-03-27,Bolton 006A,E01004784,Bolton,Working-age adults with no qualifications,71
2011-03-27,Bolton 006B,E01004785,Bolton,Working-age adults with no qualifications,138
2011-03-27,Bolton 006C,E01004786,Bolton,Working-age adults with no qualifications,97
2011-03-27,Bolton 006D,E01004789,Bolton,Working-age adults with no qualifications,61
2011-03-27,Bolton 006E,E01004791,Bolton,Working-age adults with no qualifications,57
2011-03-27,Bolton 006F,E01004792,Bolton,Working-age adults with no qualifications,80
2011-03-27,Bolton 007A,E01004779,Bolton,Working-age adults with no qualifications,148
2011-03-27,Bolton 007B,E01004781,Bolton,Working-age adults with no qualifications,146
2011-03-27,Bolton 007C,E01004882,Bolton,Working-age adults with no qualifications,103
2011-03-27,Bolton 007D,E01004883,Bolton,Working-age adults with no qualifications,87
2011-03-27,Bolton 007E,E01004884,Bolton,Working-age adults with no qualifications,68
2011-03-27,Bolton 008A,E01004864,Bolton,Working-age adults with no qualifications,138
2011-03-27,Bolton 008B,E01004867,Bolton,Working-age adults with no qualifications,231
2011-03-27,Bolton 008C,E01004921,Bolton,Working-age adults with no qualifications,122
2011-03-27,Bolton 008D,E01004924,Bolton,Working-age adults with no qualifications,80
2011-03-27,Bolton 008E,E01004925,Bolton,Working-age adults with no qualifications,112
2011-03-27,Bolton 009A,E01004778,Bolton,Working-age adults with no qualifications,89
2011-03-27,Bolton 009B,E01004780,Bolton,Working-age adults with no qualifications,126
2011-03-27,Bolton 009C,E01004782,Bolton,Working-age adults with no qualifications,147
2011-03-27,Bolton 009D,E01004783,Bolton,Working-age adults with no qualifications,113
2011-03-27,Bolton 010A,E01004802,Bolton,Working-age adults with no qualifications,335
2011-03-27,Bolton 010B,E01004926,Bolton,Working-age adults with no qualifications,278
2011-03-27,Bolton 010C,E01004927,Bolton,Working-age adults with no qualifications,415
2011-03-27,Bolton 010D,E01004929,Bolton,Working-age adults with no qualifications,281
2011-03-27,Bolton 011A,E01004820,Bolton,Working-age adults with no qualifications,361
2011-03-27,Bolton 011B,E01004825,Bolton,Working-age adults with no qualifications,416
2011-03-27,Bolton 011C,E01004826,Bolton,Working-age adults with no qualifications,308
2011-03-27,Bolton 011D,E01004865,Bolton,Working-age adults with no qualifications,191
2011-03-27,Bolton 011E,E01004866,Bolton,Working-age adults with no qualifications,328
2011-03-27,Bolton 012A,E01004840,Bolton,Working-age adults with no qualifications,127
2011-03-27,Bolton 012B,E01004841,Bolton,Working-age adults with no qualifications,348
2011-03-27,Bolton 012C,E01004842,Bolton,Working-age adults with no qualifications,72
2011-03-27,Bolton 012D,E01004919,Bolton,Working-age adults with no qualifications,91
2011-03-27,Bolton 012E,E01004920,Bolton,Working-age adults with no qualifications,175
2011-03-27,Bolton 013A,E01004787,Bolton,Working-age adults with no qualifications,319
2011-03-27,Bolton 013B,E01004793,Bolton,Working-age adults with no qualifications,314
2011-03-27,Bolton 013C,E01004794,Bolton,Working-age adults with no qualifications,375
2011-03-27,Bolton 013D,E01004795,Bolton,Working-age adults with no qualifications,193
2011-03-27,Bolton 013E,E01004797,Bolton,Working-age adults with no qualifications,235
2011-03-27,Bolton 014A,E01004775,Bolton,Working-age adults with no qualifications,89
2011-03-27,Bolton 014B,E01004885,Bolton,Working-age adults with no qualifications,51
2011-03-27,Bolton 014C,E01004886,Bolton,Working-age adults with no qualifications,158
2011-03-27,Bolton 014D,E01004887,Bolton,Working-age adults with no qualifications,171
2011-03-27,Bolton 015A,E01004868,Bolton,Working-age adults with no qualifications,210
2011-03-27,Bolton 015B,E01004869,Bolton,Working-age adults with no qualifications,327
2011-03-27,Bolton 015C,E01004870,Bolton,Working-age adults with no qualifications,276
2011-03-27,Bolton 015D,E01004871,Bolton,Working-age adults with no qualifications,267
2011-03-27,Bolton 015E,E01004922,Bolton,Working-age adults with no qualifications,233
2011-03-27,Bolton 016B,E01004822,Bolton,Working-age adults with no qualifications,330
2011-03-27,Bolton 016C,E01004823,Bolton,Working-age adults with no qualifications,362
2011-03-27,Bolton 016D,E01004848,Bolton,Working-age adults with no qualifications,286
2011-03-27,Bolton 016E,E01033217,Bolton,Working-age adults with no qualifications,150
2011-03-27,Bolton 016F,E01033220,Bolton,Working-age adults with no qualifications,292
2011-03-27,Bolton 017A,E01004818,Bolton,Working-age adults with no qualifications,235
2011-03-27,Bolton 017B,E01004819,Bolton,Working-age adults with no qualifications,159
2011-03-27,Bolton 017C,E01004928,Bolton,Working-age adults with no qualifications,225
2011-03-27,Bolton 017D,E01004930,Bolton,Working-age adults with no qualifications,170
2011-03-27,Bolton 017E,E01004931,Bolton,Working-age adults with no qualifications,234
2011-03-27,Bolton 017F,E01004932,Bolton,Working-age adults with no qualifications,183
2011-03-27,Bolton 018A,E01004834,Bolton,Working-age adults with no qualifications,230
2011-03-27,Bolton 018B,E01004838,Bolton,Working-age adults with no qualifications,247
2011-03-27,Bolton 018C,E01004843,Bolton,Working-age adults with no qualifications,78
2011-03-27,Bolton 018D,E01004845,Bolton,Working-age adults with no qualifications,106
2011-03-27,Bolton 018E,E01004923,Bolton,Working-age adults with no qualifications,127
2011-03-27,Bolton 019A,E01004796,Bolton,Working-age adults with no qualifications,131
2011-03-27,Bolton 019B,E01004798,Bolton,Working-age adults with no qualifications,245
2011-03-27,Bolton 019C,E01004799,Bolton,Working-age adults with no qualifications,152
2011-03-27,Bolton 019D,E01004800,Bolton,Working-age adults with no qualifications,148
2011-03-27,Bolton 019E,E01004801,Bolton,Working-age adults with no qualifications,340
2011-03-27,Bolton 019F,E01004917,Bolton,Working-age adults with no qualifications,219
